Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2000,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,RU,,,6,live,,B,C
2000,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,CZ,,2,2,live,,B,C
2000,I,Agave parviflora,,Liliales,Agavaceae,Agave,GB,US,,,200,seeds,,T,D
2000,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB,JE,GB,1,,live,,B,C
2000,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB,JE,,7,14,live,,B,C
2000,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,GB,CH,,,200,live,,,A
2000,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,GB,CH,,,50,live,,,A
2000,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,US,,,1,bone pieces,,S,W
2000,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,GL,,,1,unspecified,,P,W
2000,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,NO,,,90,specimens,,S,W
2000,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,CA,,,24,specimens,,S,W
2000,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,,3,bones,,P,W
2000,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,BS,,,1,specimens,,S,W
2000,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,CA,,,54,specimens,,S,W
2000,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,CA,,,8,specimens,,S,W
2000,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,GB,DK,,,4,live,,T,C
2000,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,GB,JE,,,6,live,,B,C
2000,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,GB,DK,,,2,live,,T,C
2000,I,Casarea dussumieri,Reptilia,Serpentes,Bolyeriidae,Casarea,GB,JE,XV,,30,bodies,,S,U
2000,I,Casarea dussumieri,Reptilia,Serpentes,Bolyeriidae,Casarea,GB,JE,,,1,bodies,,S,C
2000,I,Casarea dussumieri,Reptilia,Serpentes,Bolyeriidae,Casarea,GB,JE,,200,,specimens,g,S,C
2000,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,GB,CN,,,2,skins,,E,I
2000,I,Nectophrynoides tornieri,Amphibia,Anura,Bufonidae,Nectophrynoides,GB,DK,,,20,bodies,,S,U
2000,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,GB,ZA,,,1,live,,P,C
2000,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,GB,LC,US,,1,live,,P,C
2000,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,GB,PH,,9,15,live,,T,C
2000,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,GB,PH,,4,4,live,,T,C
2000,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,GB,CZ,,1000,1000,seeds,,T,D
2000,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,GB,MT,,,200,seeds,,T,D
2000,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,GB,US,,,1320,seeds,,T,D
2000,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,GB,US,,,1070,seeds,,T,D
2000,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,GB,CZ,,1000,1000,seeds,,T,D
2000,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,GB,MT,,,100,seeds,,T,D
2000,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,GB,US,,,2160,seeds,,T,D
2000,I,Ariocarpus retusus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,GB,CZ,,1000,,seeds,,T,A
2000,I,Ariocarpus retusus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,GB,CZ,,,1000,seeds,,T,D
2000,I,Ariocarpus retusus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,GB,MT,,,100,seeds,,T,D
2000,I,Ariocarpus retusus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,GB,US,,,550,seeds,,T,D
2000,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,GB,MT,,,20,seeds,,T,D
2000,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,GB,US,,,1030,seeds,,T,D
2000,I,Cactaceae spp.,,Caryophyllales,Cactaceae,,GB,US,,,10,seeds,,T,D
2000,I,Coryphantha werdermannii,,Caryophyllales,Cactaceae,Coryphantha,GB,US,,,20,seeds,,T,D
2000,I,Discocactus spp.,,Caryophyllales,Cactaceae,Discocactus,GB,MT,,,2,live,,T,D
2000,I,Discocactus heptacanthus,,Caryophyllales,Cactaceae,Discocactus,GB,US,,,70,seeds,,T,D
2000,I,Discocactus horstii,,Caryophyllales,Cactaceae,Discocactus,GB,MT,,,101,seeds,,T,D
2000,I,Discocactus horstii,,Caryophyllales,Cactaceae,Discocactus,GB,US,,,10,seeds,,T,D
2000,I,Discocactus placentiformis,,Caryophyllales,Cactaceae,Discocactus,GB,MT,,,3,live,,T,D
2000,I,Discocactus placentiformis,,Caryophyllales,Cactaceae,Discocactus,GB,US,,,110,seeds,,T,D
